id,first_name,last_name,birthday,gender,dep_id,hiredate,manager_id,salary,email,cell_phone,home_phone,address,city,st,zip,country,note
1,Burnard,Vlasenkov,11/27/1989,Agender,Support,8/31/2023,6,126634,bvlasenkov0@zimbio.com,701-257-3517,929-216-5395,4176 Ronald Regan Way,Fargo,ND,58122,United States,
2,Kassi,Clawe,9/2/1961,Female,Training,7/15/2016,8,127925,kclawe1@ftc.gov,253-448-7051,174-611-6942,5106 Waubesa Hill,Tacoma,WA,98447,United States,
3,Ferdinand,Minifie,3/19/1989,Male,Research and Development,6/14/2023,7,66251,fminifie2@kickstarter.com,206-771-5055,895-192-3157,31575 Farwell Terrace,Seattle,WA,98175,United States,
4,Damita,Mitchener,12/23/1989,Female,Support,3/5/2020,10,105388,dmitchener3@nih.gov,757-785-3183,899-585-7198,20620 Briar Crest Drive,Virginia Beach,VA,23454,United States,
5,Janine,Gibbonson,3/1/1982,Non-binary,Accounting,12/26/2019,5,141844,jgibbonson4@techcrunch.com,202-833-6196,222-211-4818,9 Jenna Road,Washington,DC,20436,United States,
6,Karl,Randals,8/2/1963,Male,Business Development,1/11/2021,10,92933,krandals5@tiny.cc,617-596-3185,758-338-5354,91 North Lane,Boston,MA,2216,United States,
7,Perceval,Schwandermann,6/5/1985,Male,Legal,4/27/2020,8,77145,pschwandermann6@shinystat.com,919-848-4219,261-642-6978,9 Oak Valley Junction,Raleigh,NC,27635,United States,
8,Benjie,Chasemore,7/10/1970,Genderfluid,Business Development,7/6/2022,2,118779,bchasemore7@ebay.com,702-578-7803,497-956-8158,085 Oakridge Trail,Las Vegas,NV,89155,United States,
9,Therine,Bugg,8/29/1987,Female,Support,9/2/2018,3,149447,tbugg8@chronoengine.com,402-320-7499,810-788-5979,65 Butterfield Avenue,Omaha,NE,68105,United States,
10,Kissiah,Woodlands,11/17/1982,Female,Product Management,9/20/2021,4,72958,kwoodlands9@tinypic.com,814-690-9364,328-635-0719,93 Hanover Plaza,Erie,PA,16550,United States,
