emp_id,photo,first_name,last_name,birthday,gender,dep_id,hiredate,manager_id,job_id,salary,email,cell_phone,home_phone,address,city,st,zip,country,note
1,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333391/assxatipY_gghym8.jpg,Eamon,Bradmore,12/7/1968,LGBG,Serv,10/12/2016,4,Serv01,129570,ebradmore0@storify.com,817-930-1882,982-363-8554,5 Donald Street,Fort Worth,TX,76115,USA,
2,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333390/oodgoknuOF_oxnius.jpg,Belva,Emlyn,12/12/1965,Female,LEGL,3/31/2023,7,LEGL23,139147,bemlyn1@goodreads.com,813-587-6848,769-735-5237,75 Forest Trail,Tampa,FL,33686,USA,
3,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333391/tsduymawOF_rbzlpl.jpg,Janeczka,Northing,12/13/1962,Female,MK,11/30/2022,1,MK33,113987,jnorthing2@ca.gov,312-483-7299,857-470-7597,08932 Oak Valley Point,Chicago,IL,60686,USA,
4,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333389/qecccwrxOF_p3xkqr.jpg,Luisa,Simkin,7/25/1992,Female,LEGL,3/12/2020,2,LEGL01,102167,lsimkin3@gov.uk,702-856-7464,699-859-3794,66274 Mitchell Place,Las Vegas,NV,89135,USA,
5,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333382/njmftbvbMF_m8wmsz.jpg,Candide,Flello,2/19/1971,Female,ENG,9/16/2020,9,ENG53,121346,cflello4@people.com.cn,516-749-0790,310-652-0772,959 Forster Street,New Hyde Park,NY,11044,USA,
6,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333390/rwbwftfwYM_ngylkk.jpg,Chucho,Slora,6/8/1980,Male,Acct,2/4/2022,7,Acct01,121087,cslora5@timesonline.co.uk,213-652-4498,673-556-1140,16 Melby Crossing,Los Angeles,CA,90055,USA,
7,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333389/raksrqmnYLGBG_ueaqsg.jpg,Gerhardt,Defond,9/21/1992,Male,HR,1/27/2017,3,HR73,106334,gdefond6@cnet.com,512-911-3835,332-252-1334,921 Burning Wood Point,Austin,TX,78759,USA,
8,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333390/qvkwcpjnY_kpdynu.jpg,Dunc,Heineke,10/14/1970,Other,TR,9/25/2015,6,TR83,66748,dheineke7@diigo.com,214-285-1667,204-417-7393,8 Pleasure Road,Dallas,TX,75277,USA,
9,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333389/vxmzdgblOM_a2vjna.jpg,Cassaundra,Cockrem,11/20/1980,Female,HR,9/19/2015,6,HR93,42717,ccockrem8@newsvine.com,713-816-4202,896-692-8624,76651 Morrow Point,Amarillo,TX,79176,USA,
10,https://res.cloudinary.com/drtgrgcsq/image/upload/v1712333382/askbskxxYF_ajdudg.jpg,Lelah,Gallally,3/19/1979,Female,Sales,12/15/2015,6,Sales103,145253,lgallally9@so-net.ne.jp,360-132-3647,992-876-3566,4883 Jana Center,Seattle,WA,98109,USA,
